BSS_Tag,STO_Signal,Zone,Drives
STD_IOCT_BSS_MCM01_ZONE_01_STO1,MCM01_ZONE_01_STO1,MCM01_ZONE_01,UL1_3_VFD;UL1_4_VFD;UL1_5_VFD
STD_IOCT_BSS_MCM01_ZONE_02_STO1,MCM01_ZONE_02_STO1,MCM01_ZONE_02,UL2_3_VFD;UL2_4_VFD
